iter	Logloss
0	0.6552706214
1	0.6217112196
2	0.5942436291
3	0.5694061287
4	0.5499511609
5	0.5329674017
6	0.5180694516
7	0.5048417338
8	0.4939258916
9	0.4836442369
10	0.4749348157
11	0.4675450257
12	0.4615540431
13	0.4546703941
14	0.449610284
15	0.4437759886
16	0.4385397266
17	0.4342268889
18	0.4282027151
19	0.4240206013
20	0.4196710191
21	0.4142384566
22	0.410586051
23	0.4074954957
24	0.4043157062
25	0.4008379155
26	0.3979745423
27	0.3950361504
28	0.3889907546
29	0.385278745
30	0.3822342347
31	0.3783067068
32	0.3756036722
33	0.3721274135
34	0.3701844122
35	0.3671094103
36	0.3647648416
37	0.362530517
38	0.3590886932
39	0.3548894831
40	0.3527514812
41	0.3504182972
42	0.3476778046
43	0.3450467666
44	0.3416648638
45	0.3397000369
46	0.3372390363
47	0.3355117888
48	0.3337251215
49	0.330039244
50	0.3258900926
51	0.3228732261
52	0.3213768961
53	0.3194995699
54	0.3175341879
55	0.3161958299
56	0.3146105692
57	0.3131672278
58	0.3110834536
59	0.3094513228
60	0.3079496138
61	0.30653364
62	0.3040390322
63	0.3020916763
64	0.2997945123
65	0.2978254687
66	0.2949485701
67	0.2921149092
68	0.2910691645
69	0.289889895
70	0.2885869859
71	0.2867413796
72	0.2854023
73	0.284008548
74	0.2801931443
75	0.2792404551
76	0.2760408621
77	0.2736683647
78	0.2712300581
79	0.2702245904
80	0.268518421
81	0.2669589399
82	0.264653009
83	0.2630212351
84	0.2606945659
85	0.2579549397
86	0.2573050546
87	0.2555344703
88	0.2528884451
89	0.2513125214
90	0.2495003663
91	0.2480668481
92	0.2471625214
93	0.2445056183
94	0.2423864158
95	0.2413507172
96	0.2394261219
97	0.238696733
98	0.2355986533
99	0.2343363694
100	0.2335661876
101	0.2310914663
102	0.2292091477
103	0.2282597581
104	0.226818133
105	0.2253138699
106	0.2248815237
107	0.2242699791
108	0.2213737263
109	0.2207507881
110	0.2184139199
111	0.2161920411
112	0.2149286051
113	0.2138916236
114	0.2123586921
115	0.2109800958
116	0.2103596235
117	0.2079709406
118	0.2059678025
119	0.2046785216
120	0.2031987108
121	0.2025598421
122	0.2020798443
123	0.2014419963
124	0.1996389154
125	0.1980465718
126	0.1967291908
127	0.1960870396
128	0.1950320164
129	0.1940470421
130	0.193711087
131	0.1919763949
132	0.19150873
133	0.1908416068
134	0.1889358875
135	0.1876448298
136	0.1868088085
137	0.1852069298
138	0.1839687028
139	0.1816450447
140	0.1803419022
141	0.1798340965
142	0.1785691055
143	0.1775633136
144	0.1770588963
145	0.1763064406
146	0.1758420343
147	0.1753182152
148	0.1741519208
149	0.1722857712
150	0.17164843
151	0.1703458501
152	0.1698626736
153	0.1694959357
154	0.1678060506
155	0.1668887316
156	0.1659381733
157	0.1649522962
158	0.163453085
159	0.1626465692
160	0.1614439961
161	0.1606489362
162	0.1598982878
163	0.1591103854
164	0.1586103077
165	0.156668557
166	0.1559746477
167	0.1555915622
168	0.1542542983
169	0.1531667944
170	0.1526639814
171	0.1519162347
172	0.1508992289
173	0.1500252944
174	0.1497207605
175	0.1490344316
176	0.1484463566
177	0.147565016
178	0.1469363389
179	0.1467283983
180	0.1459828436
181	0.1446561933
182	0.1436818871
183	0.1432371751
184	0.1419857527
185	0.1416651559
186	0.1413268136
187	0.1406756369
188	0.1396399992
189	0.1385919998
190	0.1373770793
191	0.1364848851
192	0.1353214951
193	0.1343958853
194	0.133126129
195	0.1324744435
196	0.1312659664
197	0.1304636196
198	0.1293206797
199	0.1287437803
200	0.1280374461
201	0.1272792945
202	0.1266538619
203	0.1257111302
204	0.1250328204
205	0.1242860329
206	0.1239628525
207	0.1235968314
208	0.1223249292
209	0.1212984472
210	0.1200719562
211	0.1197801898
212	0.1193390755
213	0.1186381379
214	0.1182509372
215	0.1180065624
216	0.1178018719
217	0.1167365348
218	0.1159665286
219	0.1152349639
220	0.1148118434
221	0.1140224818
222	0.1133769667
223	0.1129267476
224	0.1125447208
225	0.1118538869
226	0.1108940089
227	0.1103695754
228	0.1094022358
229	0.1087678417
230	0.1084941985
231	0.1079371639
232	0.1073038181
233	0.1066208633
234	0.1061652488
235	0.1050936442
236	0.1045616438
237	0.1041388274
238	0.1031531766
239	0.1026037593
240	0.1023922262
241	0.1019127438
242	0.101353748
243	0.1010112557
244	0.1008596295
245	0.1006811214
246	0.09993171504
247	0.09895511363
248	0.09858406195
249	0.09804073538
250	0.09757133415
251	0.09701580991
252	0.0964222817
253	0.09606945729
254	0.09561053287
255	0.09481208573
256	0.09399098545
257	0.09375008272
258	0.09341724744
259	0.09260916613
260	0.09220559723
261	0.09141455988
262	0.09087448998
263	0.09028223594
264	0.09009700802
265	0.08993495802
266	0.08928003703
267	0.08836959891
268	0.08821336231
269	0.08716454433
270	0.08674967461
271	0.08594656489
272	0.08567914367
273	0.08529038805
274	0.08499850157
275	0.08454697532
276	0.08416023864
277	0.08349537009
278	0.08310295831
279	0.08293481899
280	0.08259357915
281	0.08232323331
282	0.08196912079
283	0.08157166211
284	0.08099753749
285	0.08040735112
286	0.07976209936
287	0.07903940163
288	0.07881562436
289	0.07819616827
290	0.07755490632
291	0.07717869212
292	0.07684463835
293	0.0761903023
294	0.07571393499
295	0.07514473473
296	0.07458869138
297	0.07429166452
298	0.07391562439
299	0.07328942067
300	0.07310096751
301	0.07261238038
302	0.07198176766
303	0.07170172147
304	0.07140428901
305	0.07124931148
306	0.07064742267
307	0.07039072982
308	0.06988444411
309	0.06971433403
310	0.06920889622
311	0.06905303687
312	0.06877070424
313	0.06850365614
314	0.06836515388
315	0.06800645391
316	0.06768722626
317	0.06743240654
318	0.06728457958
319	0.06684124836
320	0.06649797101
321	0.06622439197
322	0.06609629233
323	0.06580928
324	0.06532207881
325	0.06486896788
326	0.06462916386
327	0.06430800166
328	0.06402339464
329	0.06373238658
330	0.06329719484
331	0.06312187587
332	0.06290388505
333	0.06251337532
334	0.06228738306
335	0.06194232
336	0.06176041582
337	0.06144958499
338	0.06128109869
339	0.06108586307
340	0.06089607643
341	0.06066465667
342	0.06037356032
343	0.06002522836
344	0.0597224506
345	0.05955522785
346	0.05944356064
347	0.05928949823
348	0.0590035864
349	0.05866036137
350	0.05841979473
351	0.05829130103
352	0.05804587654
353	0.05793115631
354	0.05751027572
355	0.05719946087
356	0.05705420664
357	0.05694022862
358	0.056841629
359	0.05657831452
360	0.05622086326
361	0.05595669873
362	0.05588010117
363	0.05566267398
364	0.05525905697
365	0.05486836774
366	0.05450252115
367	0.05433936548
368	0.05406375459
369	0.0538916816
370	0.05353281495
371	0.05316060865
372	0.05307157396
373	0.05279419033
374	0.05257373245
375	0.05234024547
376	0.05202853198
377	0.05173709431
378	0.05143520311
379	0.0511430038
380	0.05101144948
381	0.0506357389
382	0.05040449236
383	0.05006215994
384	0.04990976055
385	0.04981029146
386	0.04962270115
387	0.04942061061
388	0.04909530286
389	0.04875530786
390	0.04865415216
391	0.04846443492
392	0.04816948644
393	0.04798313632
394	0.04765850296
395	0.04749103064
396	0.04729331727
397	0.04699871199
398	0.04681350782
399	0.04644582558
400	0.04617816182
401	0.04588753099
402	0.0456549697
403	0.04554403097
404	0.04538239967
405	0.04516789018
406	0.04485431113
407	0.04470024196
408	0.04441590525
409	0.04414159021
410	0.04392765196
411	0.04382644098
412	0.04364811026
413	0.04345643759
414	0.0432629001
415	0.04318085871
416	0.043043807
417	0.04293353273
418	0.04258209181
419	0.04236465747
420	0.04228392328
421	0.0421891014
422	0.0420763615
423	0.04185062944
424	0.04169830193
425	0.04157579985
426	0.04140239633
427	0.04129809011
428	0.04121406999
429	0.04094511054
430	0.04068268484
431	0.04051081041
432	0.04022481401
433	0.03999056741
434	0.0398663989
435	0.03965653021
436	0.039499686
437	0.0393756757
438	0.03926933507
439	0.03912512504
440	0.03890947837
441	0.03873853997
442	0.03852698748
443	0.03843580247
444	0.03830240233
445	0.03825466699
446	0.03791024734
447	0.03773576683
448	0.03762131238
449	0.03753912437
450	0.03734628526
451	0.03714464044
452	0.03698205197
453	0.03684252216
454	0.03674078457
455	0.03661736658
456	0.03651426964
457	0.03627149482
458	0.03608464706
459	0.03589903908
460	0.03576569727
461	0.03569165196
462	0.03556069942
463	0.03542946009
464	0.03524423529
465	0.03510596081
466	0.03504555573
467	0.03493070283
468	0.03481834888
469	0.03470660204
470	0.03457133275
471	0.03435722857
472	0.0342307501
473	0.0341338828
474	0.03400402967
475	0.03392282521
476	0.0337467602
477	0.03360271198
478	0.03343632327
479	0.03329394502
480	0.03321149769
481	0.03312281144
482	0.03304663421
483	0.03289615168
484	0.03268231148
485	0.03247858877
486	0.0323124165
487	0.03213811626
488	0.03200717778
489	0.03196773347
490	0.03186674107
491	0.03163670908
492	0.03153130086
493	0.0314222623
494	0.03129277528
495	0.03125646251
496	0.03114067122
497	0.03091967777
498	0.0308274441
499	0.03077988819
500	0.03071863515
