MATCH ID,MATCH NO,DATE,TIME,HOME TEAM,AWAY TEAM,MATCH,VENUE,URL
1304104,58th,11-05-2022,7:30 PM,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals vs Delhi Capitals, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-delhi-capitals-58th-match-1304104/live-cricket-score
1304105,59th,12-05-2022,7:30 PM,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings vs Mumbai Indians, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-mumbai-indians-59th-match-1304105/live-cricket-score
1304106,60th,13-05-2022,7:30 PM,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore vs Punjab Kings, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-punjab-kings-60th-match-1304106/live-cricket-score
1304107,61st,14-05-2022,7:30 PM,Kolkata Knight Riders,Sunrisers Hyderabad,"Kolkata Knight Riders vs Sunrisers Hyderabad, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-sunrisers-hyderabad-61st-match-1304107/live-cricket-score
1304108,62nd,15-05-2022,3:30 PM,Chennai Super Kings,Gujarat Titans,"Chennai Super Kings vs Gujarat Titans, 03:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-gujarat-titans-62nd-match-1304108/live-cricket-score
1304109,63rd,15-05-2022,7:30 PM,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants vs Rajasthan Royals, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-rajasthan-royals-63rd-match-1304109/live-cricket-score
1304110,64th,16-05-2022,7:30 PM,Punjab Kings,Delhi Capitals,"Punjab Kings vs Delhi Capitals, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-delhi-capitals-64th-match-1304110/live-cricket-score
1304111,65th,17-05-2022,7:30 PM,Mumbai Indians,Sunrisers Hyderabad,"Mumbai Indians vs Sunrisers Hyderabad, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-sunrisers-hyderabad-65th-match-1304111/live-cricket-score
1304112,66th,18-05-2022,7:30 PM,Kolkata Knight Riders,Lucknow Super Giants,"Kolkata Knight Riders vs Lucknow Super Giants, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-lucknow-super-giants-66th-match-1304112/live-cricket-score
1304113,67th,19-05-2022,7:30 PM,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore vs Gujarat Titans, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-gujarat-titans-67th-match-1304113/live-cricket-score
1304114,68th,20-05-2022,7:30 PM,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals vs Chennai Super Kings, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-chennai-super-kings-68th-match-1304114/live-cricket-score
1304115,69th,21-05-2022,7:30 PM,Mumbai Indians,Delhi Capitals,"Mumbai Indians vs Delhi Capitals, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-delhi-capitals-69th-match-1304115/live-cricket-score
1304116,70th,22-05-2022,7:30 PM,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad vs Punjab Kings, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-punjab-kings-70th-match-1304116/live-cricket-score
